Transect,species,count,prob.,A. herba-alba Expected coex.,A. herba-alba Real coex.,L. spartum Expected coex.,L. spartum Real coex.,S. vermiculata Expected coex.,S. vermiculata Real coex.
6,centa,2,0.001598721,0.2126,0,0.6124,0,0.024,0
6,cistuclu,5,0.003996803,0.5315,0,1.531,0,0.06,0
6,crepifo,1,0.000799361,0.1063,0,0.3062,1,0.012,0
6,DACT,31,0.024780176,3.2953,3,9.4922,7,0.372,0
6,DIPCA,3,0.002398082,0.3189,0,0.9186,0,0.036,0
6,ely,2,0.001598721,0.2126,1,0.6124,0,0.024,0
6,GENISCO,15,0.011990408,1.5945,1,4.593,0,0.18,0
6,globu,2,0.001598721,0.2126,0,0.6124,0,0.024,0
6,HEDYP,2,0.001598721,0.2126,0,0.6124,2,0.024,0
6,helihirt,40,0.03197442,4.252,3,12.248,17,0.48,0
6,HELIPI,14,0.011191047,1.4882,0,4.2868,0,0.168,0
6,HORDEUM,8,0.006394884,0.8504,0,2.4496,0,0.096,0
6,HYP,1,0.000799361,0.1063,0,0.3062,0,0.012,0
6,junipho,1,0.000799361,0.1063,0,0.3062,0,0.012,0
6,koelerval,11,0.008792966,1.1693,0,3.3682,0,0.132,0
6,LINU,25,0.019984013,2.6575,3,7.655,9,0.3,0
6,LINUSUB,1,0.000799361,0.1063,0,0.3062,1,0.012,0
6,lygi,383,0.306155076,40.7129,35,NA,NA,4.596,5
6,malcomia,26,0.020783373,2.7638,2,7.9612,8,0.312,0
6,MEDILIT,4,0.003197442,0.4252,0,1.2248,2,0.048,0
6,MUSGO,1,0.000799361,0.1063,0,0.3062,0,0.012,0
6,NEATOS,2,0.001598721,0.2126,1,0.6124,1,0.024,0
6,onopus,1,0.000799361,0.1063,0,0.3062,0,0.012,0
6,PEGANUM,4,0.003197442,0.4252,1,1.2248,1,0.048,0
6,PLAFRA,8,0.006394884,0.8504,1,2.4496,4,0.096,0
6,PLAL,24,0.019184652,2.5512,4,7.3488,3,0.288,0
6,polymon,1,0.000799361,0.1063,0,0.3062,0,0.012,0
6,rapis,1,0.000799361,0.1063,0,0.3062,0,0.012,0
6,ROME,189,0.151079137,20.0907,3,57.8718,14,2.268,1
6,save,15,0.011990408,1.5945,0,4.593,5,NA,NA
6,SEDU,23,0.018385292,2.4449,2,7.0426,14,0.276,0
6,sonchus,4,0.003197442,0.4252,0,1.2248,3,0.048,0
6,SPERGULA,7,0.005595524,0.7441,1,2.1434,4,0.084,0
6,STIPALAG,102,0.081534772,10.8426,23,31.2324,11,1.224,1
6,STIPAR,23,0.018385292,2.4449,2,7.0426,1,0.276,2
6,taraxa,13,0.010391687,1.3819,0,3.9806,10,0.156,0
6,TEUCAP,5,0.003996803,0.5315,0,1.531,2,0.06,0
6,THYMUVU,26,0.020783373,2.7638,1,7.9612,16,0.312,0
